=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-4-12_2-9-8
====================================================================================
2:9:8 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
2:9:8 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
2:9:8 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
2:9:8 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
2:9:8 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
2:9:8 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
2:9:8 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
2:9:8 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
2:9:8 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
2:9:8 | [PermissionManager] Adding Super Admin (76561198118650977)
2:9:8 | [PermissionManager] Loaded UserGroups.json
2:9:8 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
2:9:8 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
2:9:8 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
2:9:8 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
2:9:8 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
2:9:8 | Building Sets Loaded: 0
2:9:8 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
2:9:8 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
2:10:9 | Player "Zackstabz" (steamId=76561198118650977) connected to server!
2:11:38 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (STAG_Clothing_6sh118)
2:12:6 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (M4A1)
2:12:32 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Mosin9130)
2:12:39 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Mosin9130)
2:12:40 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Mosin9130)
2:12:41 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Mosin9130)
2:13:1 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:2 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:2 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:2 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:2 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:3 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:3 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:3 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:13:21 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:21 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:21 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:21 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:21 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:22 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:22 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:22 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:22 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:32 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:32 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:32 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:33 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:33 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:33 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:33 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:33 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:33 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:34 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:34 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:34 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:34 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:34 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:34 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:35 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:35 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:46 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:47 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:47 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:47 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:47 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:47 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:47 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:48 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:13:48 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (SmallStone)
2:17:54 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:17:54 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:17:54 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:17:54 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:17:55 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:17:55 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Stone)
2:18:2 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (PowerGenerator)
2:18:12 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (STAG_Clothing_6sh118)
2:18:12 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (STAG_Clothing_6sh118)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5489.077637, 66.449959, 1591.886475>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.531250, 66.466873, 1590.095215>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.459473, 66.467010, 1590.074341>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.393066, 66.467125, 1590.054932>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.321289, 66.467262, 1590.034912>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.253906, 66.467392, 1590.015503>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.185547, 66.467529, 1589.996094>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.122559, 66.467636, 1589.978027>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5481.055664, 66.467773, 1589.959351>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5476.137207, 66.474640, 1588.806885>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5475.001465, 66.475662, 1588.539063>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5474.599609, 66.476021, 1588.436401>)
2:27:23 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5474.530762, 66.476074, 1588.417969>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5474.513672, 66.476074, 1588.413574>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5474.448242, 66.476128, 1588.395142>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5474.387695, 66.476173, 1588.378052>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5473.763672, 66.476753, 1588.225830>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5473.221191, 66.477196, 1588.099243>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5466.616699, 66.481400, 1586.528198>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5458.400879, 66.484047, 1585.294556>)
2:27:24 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5450.326172, 66.485085, 1584.129761>)
2:27:25 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5441.974121, 66.485504, 1583.257446>)
2:27:25 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5433.896484, 66.485603, 1583.406982>)
2:27:26 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5426.428711, 66.485672, 1587.924316>)
2:27:27 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5422.220703, 66.485626, 1592.296997>)
2:27:27 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5417.804688, 66.485558, 1596.955933>)
2:27:27 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5413.631348, 67.262772, 1598.929199>)
2:27:29 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5404.312500, 66.986343, 1601.446533>)
2:27:29 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5398.299316, 66.985306, 1600.676147>)
2:27:30 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5392.046387, 66.984215, 1600.637817>)
2:27:30 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5385.474609, 66.983070, 1600.935669>)
2:30:41 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (PowerGenerator)
2:30:54 | "Zackstabz" (steamid=76561198118650977) deleted object "PowerGenerator" (pos=<5386.358398, 67.006607, 1606.103760>)
2:37:35 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Chainmail_Coif)
2:37:37 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Chainmail_Leggings)
2:37:38 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Chainmail)
2:37:58 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (PlateCarrierVest)
2:38:13 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Chestplate)
2:38:17 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Winchester70)
2:38:58 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (WorkingGloves_Black)
2:45:57 | "76561198118650977" (steamid=76561198118650977) teleported to (pos=<5135.839844, 74.000000, 3173.280029>)
2:45:57 | "Zackstabz": (steamid=76561198118650977) teleported to (pos=5135.84,0,3173.28)
2:45:58 | "76561198118650977" (steamid=76561198118650977) teleported to (pos=<5144.169922, 74.000000, 3176.850098>)
2:45:58 | "Zackstabz": (steamid=76561198118650977) teleported to (pos=5144.17,0,3176.85)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5313.652344, 74.000000, 3306.621826>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5306.221680, 73.999977, 3300.931641>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5306.183105, 73.999992, 3300.900391>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5306.147461, 74.000000, 3300.871094>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5306.114258, 74.000015, 3300.844482>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5306.079102, 74.000008, 3300.815186>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5306.046387, 73.999977, 3300.788818>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5306.011719, 74.000015, 3300.760010>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5305.976074, 74.000000, 3300.730713>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5305.941895, 74.000000, 3300.702393>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5301.641113, 74.000015, 3297.458496>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5300.125977, 74.000008, 3296.322510>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5299.624512, 73.999992, 3295.946533>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5299.366699, 73.999992, 3295.742432>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5299.291016, 74.000008, 3295.686523>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5299.264160, 73.999992, 3295.667236>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5299.233887, 74.000000, 3295.642334>)
2:46:48 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5292.945801, 74.000015, 3290.889160>)
2:46:49 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5285.783203, 73.999977, 3285.408447>)
2:46:49 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5278.736328, 73.999969, 3280.000488>)
2:46:49 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5271.727539, 73.999992, 3274.619141>)
2:46:49 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.437988, 74.000015, 3269.003906>)
2:46:49 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.402832, 74.000023, 3268.974854>)
2:46:49 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.366211, 74.000015, 3268.945068>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.332520, 73.999985, 3268.917236>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.299316, 73.999992, 3268.889648>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.265625, 73.999992, 3268.861816>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.230469, 73.999992, 3268.832764>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.195801, 73.999992, 3268.804443>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.160156, 73.999992, 3268.775146>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.122070, 73.999992, 3268.743652>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5264.088867, 74.000000, 3268.716553>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5259.806152, 74.000000, 3265.447998>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5258.322266, 73.999992, 3264.315430>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5257.846191, 74.000008, 3263.951660>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5257.601563, 74.000008, 3263.759033>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5257.533691, 74.000008, 3263.705322>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5257.407227, 73.999992, 3263.602295>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5257.377441, 73.999992, 3263.577881>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5257.369629, 74.000000, 3263.571289>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5256.645020, 74.000008, 3263.012451>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5255.986816, 74.000000, 3262.510986>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5255.323730, 73.999992, 3262.005615>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5254.670898, 73.999985, 3261.507813>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5253.990234, 73.999992, 3260.987549>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5253.379395, 73.999985, 3260.520752>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5252.840332, 73.999992, 3260.108887>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5252.369629, 74.000008, 3259.749023>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5251.971191, 74.000008, 3259.443604>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5251.641602, 74.000000, 3259.190186>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5250.280762, 73.999992, 3258.149902>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5249.235840, 74.000000, 3257.351074>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5248.462402, 73.999992, 3256.759521>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5247.319336, 73.999992, 3255.885010>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5246.514160, 74.000000, 3255.269043>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5245.962402, 74.000008, 3254.846924>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5245.582520, 74.000000, 3254.555664>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5245.323730, 74.000008, 3254.356689>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5245.152832, 73.999985, 3254.224121>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5243.126953, 73.999992, 3252.676270>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5241.973145, 74.000008, 3251.794922>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5240.475586, 73.999992, 3250.649658>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5239.696777, 74.000000, 3250.054199>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5239.305664, 74.000000, 3249.755127>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5237.749512, 74.000031, 3248.563965>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5237.037598, 73.999977, 3248.019043>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5236.727051, 73.999992, 3247.781494>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5234.500977, 73.999992, 3246.079590>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5233.608887, 73.999992, 3245.397705>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5233.267578, 73.999992, 3245.136963>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5231.358887, 73.999992, 3243.676270>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5230.715820, 74.000015, 3243.184082>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5230.510254, 74.000000, 3243.026611>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5230.447754, 74.000000, 3242.979004>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5230.410156, 74.000000, 3242.948975>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5230.373535, 74.000000, 3242.919189>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5230.339844, 74.000000, 3242.891602>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5225.190430, 74.000000, 3238.957275>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5224.085449, 73.999985, 3238.112793>)
2:46:50 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5223.876465, 74.000000, 3237.953125>)
